n;V_w(t);T;I_a;n(t);A;P_pv
1,00;2,00;-16,20;0,00;19,822212;2,52;0
2,00;2,00;-16,20;0,00;19,822212;2,52;0
3,00;2,00;-16,20;0,00;19,822212;2,52;0
4,00;2,00;-16,20;0,00;19,822212;2,52;0
5,00;2,00;-16,20;0,00;19,822212;2,52;0
6,00;2,00;-16,20;0,00;19,822212;2,52;0
7,00;2,00;-16,20;0,00;19,822212;2,52;0
8,00;2,00;-16,20;0,00;19,822212;2,52;0
9,00;2,00;-16,20;0,00;19,822212;2,52;0
10,00;2,00;-16,20;0,00;19,822212;2,52;0
11,00;2,00;-16,20;64,21;19,822212;2,52;3047,133839
12,00;2,00;-16,20;127,21;19,822212;2,52;6036,453624
13,00;2,00;-16,20;222,37;19,822212;2,52;10552,21945
14,00;2,00;-16,20;345,17;19,822212;2,52;16379,95228
15,00;2,00;-16,20;300,24;19,822212;2,52;14247,88885
16,00;2,00;-16,20;188,30;19,822212;2,52;8935,855805
17,00;2,00;-16,20;96,77;19,822212;2,52;4592,211217
18,00;1,00;-16,20;27,23;19,822212;2,52;1292,340364
19,00;1,00;-16,20;0,00;19,822212;2,52;0
20,00;1,00;-16,20;0,00;19,822212;2,52;0
21,00;1,00;-16,20;0,00;19,822212;2,52;0
22,00;1,00;-16,20;0,00;19,822212;2,52;0
23,00;1,00;-13,10;0,00;19,556046;2,52;0
24,00;2,00;-13,10;0,00;19,556046;2,52;0
25,00;2,00;-15,40;0,00;19,753524;2,52;0
26,00;2,00;-15,40;0,00;19,753524;2,52;0
27,00;2,00;-15,40;0,00;19,753524;2,52;0
28,00;2,00;-15,40;0,00;19,753524;2,52;0
29,00;2,00;-15,40;0,00;19,753524;2,52;0
30,00;1,00;-15,40;0,00;19,753524;2,52;0
31,00;1,00;-16,00;0,00;19,80504;2,52;0
32,00;1,00;-16,00;0,00;19,80504;2,52;0
33,00;1,00;-16,00;0,00;19,80504;2,52;0
34,00;1,00;-16,00;0,00;19,80504;2,52;0
35,00;1,00;-16,00;38,35;19,80504;2,52;1818,381618
36,00;1,00;-16,00;83,09;19,80504;2,52;3939,442444
37,00;1,00;-16,00;141,91;19,80504;2,52;6728,517733
38,00;1,00;-16,00;202,21;19,80504;2,52;9587,529158
39,00;1,00;-16,00;181,39;19,80504;2,52;8600,061363
40,00;1,00;-16,00;122,59;19,80504;2,52;5812,272059
41,00;1,00;-16,00;61,46;19,80504;2,52;2914,062367
42,00;1,00;-16,00;14,54;19,80504;2,52;689,3210385
43,00;1,00;-16,00;0,00;19,80504;2,52;0
44,00;1,00;-16,00;0,00;19,80504;2,52;0
45,00;1,00;-16,00;0,00;19,80504;2,52;0
46,00;1,00;-16,00;0,00;19,80504;2,52;0
47,00;1,00;-15,90;0,00;19,796454;2,52;0
48,00;1,00;-15,90;0,00;19,796454;2,52;0
49,00;1,00;-17,30;0,00;19,916658;2,52;0
50,00;1,00;-17,30;0,00;19,916658;2,52;0
51,00;1,00;-17,30;0,00;19,916658;2,52;0
52,00;1,00;-17,30;0,00;19,916658;2,52;0
53,00;1,00;-17,30;0,00;19,916658;2,52;0
54,00;1,00;-17,30;0,00;19,916658;2,52;0
55,00;1,00;-17,30;0,00;19,916658;2,52;0
56,00;1,00;-17,30;0,00;19,916658;2,52;0
57,00;1,00;-17,30;0,00;19,916658;2,52;0
58,00;1,00;-17,30;0,00;19,916658;2,52;0
59,00;1,00;-17,30;38,49;19,916658;2,52;1835,066803
60,00;1,00;-17,30;83,23;19,916658;2,52;3968,509587
61,00;1,00;-17,30;115,39;19,916658;2,52;5501,881134
62,00;1,00;-17,30;166,67;19,916658;2,52;7947,033587
63,00;1,00;-17,30;148,99;19,916658;2,52;7103,734717
64,00;1,00;-17,30;98,96;19,916658;2,52;4718,601989
65,00;1,00;-17,30;47,47;19,916658;;
66,00;1,00;-17,30;10,46;19,916658;;
67,00;1,00;-17,30;0,00;19,916658;;
68,00;1,00;-17,30;0,00;19,916658;;
69,00;1,00;-17,30;0,00;19,916658;;
70,00;1,00;-17,30;0,00;19,916658;;
71,00;1,00;-18,10;0,00;19,985346;;
72,00;1,00;-18,10;0,00;19,985346;;
73,00;1,00;-20,50;0,00;20,19141;;
74,00;1,00;-20,50;0,00;20,19141;;
75,00;1,00;-20,50;0,00;20,19141;;
76,00;1,00;-20,50;0,00;;;
77,00;1,00;-20,50;0,00;;;
78,00;1,00;-20,50;0,00;;;
79,00;1,00;-21,10;0,00;;;
80,00;1,00;-21,10;0,00;;;
81,00;1,00;-21,10;0,00;;;
82,00;1,00;-21,10;0,00;;;
83,00;1,00;-21,10;38,61;;;
84,00;1,00;-21,10;83,40;;;
85,00;1,00;-21,10;225,74;;;
86,00;1,00;-21,10;355,37;;;
87,00;1,00;-21,10;307,82;;;
88,00;1,00;-21,10;190,10;;;
89,00;1,00;-21,10;95,78;;;
90,00;1,00;-21,10;26,48;;;
91,00;1,00;-21,10;0,00;;;
92,00;1,00;-21,10;0,00;;;
93,00;1,00;-21,10;0,00;;;
94,00;1,00;-21,10;0,00;;;
95,00;1,00;-20,10;0,00;;;
96,00;1,00;-20,10;0,00;;;
97,00;1,00;-22,50;0,00;;;
98,00;1,00;-22,50;0,00;;;
99,00;1,00;-22,50;0,00;;;
100,00;1,00;-22,50;0,00;;;
101,00;1,00;-22,50;0,00;;;
102,00;1,00;-22,50;0,00;;;
103,00;1,00;-15,80;0,00;;;
104,00;1,00;-15,80;0,00;;;
105,00;1,00;-15,80;0,00;;;
106,00;1,00;-15,80;0,00;;;
