N,V,T,P,DirectRad,ScatterRad,SumRad
1,2,-16.2,729.4,0,0,0
2,2,-16.2,729.4,0,0,0
3,2,-16.2,729.4,0,0,0
4,2,-16.2,729.4,0,0,0
5,2,-16.2,729.4,0,0,0
6,2,-16.2,729.4,0,0,0
7,2,-16.2,729.4,0,0,0
8,2,-16.2,729.4,0,0,0
9,2,-16.2,729.4,0,0,0
10,2,-16.2,729.4,0,0,0
11,2,-16.2,729.4,0.43,62.78,64.21
12,2,-16.2,729.4,8.97,117.23,127.21
13,2,-16.2,729.4,45.49,175.87,222.37
14,2,-16.2,729.4,116.91,227.26,345.17
15,2,-16.2,729.4,89,210.24,300.24
16,2,-16.2,729.4,29.69,157.62,188.3
17,2,-16.2,729.4,3.43,92.34,96.77
18,1,-16.2,729.4,0,26.98,27.23
19,1,-16.2,729.4,0,0,0
20,1,-16.2,729.4,0,0,0
21,1,-16.2,729.4,0,0,0
22,1,-16.2,729.4,0,0,0
23,1,-13.1,731.8,0,0,0
24,2,-13.1,731.8,0,0,0
25,2,-15.4,736.6,0,0,0
26,2,-15.4,736.6,0,0,0
27,2,-15.4,736.6,0,0,0
28,2,-15.4,736.6,0,0,0
29,2,-15.4,736.6,0,0,0
30,1,-15.4,736.6,0,0,0
31,1,-16,738.3,0,0,0
32,1,-16,738.3,0,0,0
33,1,-16,738.3,0,0,0
34,1,-16,738.3,0,0,0
35,1,-16,738.3,0,37.97,38.35
36,1,-16,738.3,1.69,80.4,83.09
37,1,-16,738.3,11.5,129.41,141.91
38,1,-16,738.3,30.74,170.47,202.21
39,1,-16,738.3,23.22,157.16,181.39
40,1,-16,738.3,7.25,114.34,122.59
41,1,-16,738.3,0.19,60.27,61.46
42,1,-16,738.3,0,14.47,14.54
43,1,-16,738.3,0,0,0
44,1,-16,738.3,0,0,0
45,1,-16,738.3,0,0,0
46,1,-16,738.3,0,0,0
47,1,-15.9,738.2,0,0,0
48,1,-15.9,738.2,0,0,0
49,1,-17.3,738.3,0,0,0
50,1,-17.3,738.3,0,0,0
51,1,-17.3,738.3,0,0,0
52,1,-17.3,738.3,0,0,0
53,1,-17.3,738.3,0,0,0
54,1,-17.3,738.3,0,0,0
55,1,-17.3,738.4,0,0,0
56,1,-17.3,738.4,0,0,0
57,1,-17.3,738.4,0,0,0
58,1,-17.3,738.4,0,0,0
59,1,-17.3,738.4,0,38.1,38.49
60,1,-17.3,738.4,1.72,80.51,83.23
61,1,-17.3,738.4,11.67,102.72,115.39
62,1,-17.3,738.4,31.1,134.57,166.67
63,1,-17.3,738.4,23.51,124.48,148.99
64,1,-17.3,738.4,7.36,90.6,98.96
65,1,-17.3,738.4,0.21,46.26,47.47
66,1,-17.3,738.4,0,10.39,10.46
67,1,-17.3,738.4,0,0,0
68,1,-17.3,738.4,0,0,0
69,1,-17.3,738.4,0,0,0
70,1,-17.3,738.4,0,0,0
71,1,-18.1,738.6,0,0,0
72,1,-18.1,738.6,0,0,0
73,1,-20.5,740.9,0,0,0
74,1,-20.5,740.9,0,0,0
75,1,-20.5,740.9,0,0,0
76,1,-20.5,740.9,0,0,0
77,1,-20.5,740.9,0,0,0
78,1,-20.5,740.9,0,0,0
79,1,-21.1,741.9,0,0,0
80,1,-21.1,741.9,0,0,0
81,1,-21.1,741.9,0,0,0
82,1,-21.1,741.9,0,0,0
83,1,-21.1,741.9,0,38.22,38.61
84,1,-21.1,741.9,1.75,80.64,83.4
85,1,-21.1,741.9,50.08,174.66,225.74
86,1,-21.1,741.9,128.35,226.02,355.37
87,1,-21.1,741.9,97.78,209.04,307.82
88,1,-21.1,741.9,32.73,156.36,190.1
89,1,-21.1,741.9,3.89,90.89,95.78
90,1,-21.1,741.9,0,26.2,26.48
91,1,-21.1,741.9,0,0,0
92,1,-21.1,741.9,0,0,0
93,1,-21.1,741.9,0,0,0
94,1,-21.1,741.9,0,0,0
95,1,-20.1,742,0,0,0
96,1,-20.1,742,0,0,0
97,1,-22.5,744.4,0,0,0
98,1,-22.5,744.4,0,0,0
99,1,-22.5,744.4,0,0,0
100,1,-22.5,744.4,0,0,0
101,1,-22.5,744.4,0,0,0
102,1,-22.5,744.4,0,0,0
103,1,-15.8,745.4,0,0,0
104,1,-15.8,745.4,0,0,0
105,1,-15.8,745.4,0,0,0
106,1,-15.8,745.4,0,0,0
107,1,-15.8,745.4,0,38.33,38.73
108,1,-15.8,745.4,1.79,80.81,83.6
109,1,-15.8,745.4,11.91,103.49,116.4
110,1,-15.8,745.4,31.66,135.41,168.06
111,1,-15.8,745.4,23.94,125.3,150.24
112,1,-15.8,745.4,7.53,91.33,99.86
113,1,-15.8,745.4,0.24,46.75,47.99
114,1,-15.8,745.4,0,10.58,10.65
115,1,-15.8,745.4,0,0,0
116,1,-15.8,745.4,0,0,0
117,1,-15.8,745.4,0,0,0
